user,items
0,"['cat food', 'bottled beer', 'canned beer', 'rolls/buns', 'brown bread', 'butter', 'whole milk', 'cake bar', 'pastry', 'onions']"
1,"['yogurt', 'cat food', 'butter milk', 'canned beer', 'chocolate', 'hard cheese', 'shopping bags', 'brown bread', 'butter', 'whole milk']"
2,"['yogurt', 'beef', 'canned beer', 'bottled beer', 'hard cheese', 'rolls/buns', 'cream cheese', 'shopping bags', 'UHT-milk', 'whole milk']"
3,"['yogurt', 'bottled beer', 'candy', 'hard cheese', 'rolls/buns', 'shopping bags', 'berries', 'butter', 'whole milk', 'frozen meals']"
4,"['canned beer', 'berries', 'butter', 'detergent', 'herbs', 'cling film/bags', 'bottled beer', 'meat', 'whole milk', 'pastry']"
5,"['yogurt', 'beef', 'chocolate', 'flour', 'rolls/buns', 'cream cheese', 'shopping bags', 'pickled vegetables', 'salty snack', 'butter']"
6,"['canned beer', 'flour', 'rolls/buns', 'brown bread', 'whole milk', 'detergent', 'pet care', 'chewing gum']"
7,"['yogurt', 'bottled beer', 'condensed milk', 'rolls/buns', 'UHT-milk', 'dessert', 'brown bread', 'whole milk', 'coffee', 'pastry']"
8,"['canned beer', 'salty snack', 'butter', 'whole milk', 'soft cheese', 'semi-finished bread', 'pastry', 'frankfurter', 'chewing gum']"
9,"['yogurt', 'beef', 'butter milk', 'bottled beer', 'candy', 'flour', 'brown bread', 'UHT-milk', 'whole milk', 'soft cheese']"
10,"['candy', 'canned beer', 'flour', 'brown bread', 'berries', 'salty snack', 'dish cleaner', 'cling film/bags', 'bottled beer', 'meat']"
11,"['yogurt', 'cat food', 'beef', 'candy', 'flour', 'hard cheese', 'rolls/buns', 'shopping bags', 'butter', 'frozen meals']"
12,"['cat food', 'bottled beer', 'candy', 'chocolate', 'rolls/buns', 'shopping bags', 'brown bread', 'whole milk', 'cake bar', 'root vegetables']"
13,"['yogurt', 'butter milk', 'canned beer', 'bottled beer', 'frozen meals', 'salty snack', 'whole milk', 'fruit/vegetable juice', 'root vegetables', 'frankfurter']"
14,"['chicken', 'yogurt', 'canned beer', 'bottled beer', 'rolls/buns', 'shopping bags', 'whole milk', 'fruit/vegetable juice', 'chewing gum']"
15,"['chicken', 'yogurt', 'butter milk', 'beef', 'bottled beer', 'mayonnaise', 'rolls/buns', 'cream cheese', 'shopping bags', 'butter']"
16,"['yogurt', 'butter milk', 'beef', 'canned beer', 'candy', 'rolls/buns', 'shopping bags', 'brown bread', 'butter', 'frozen meals']"
17,"['chicken', 'yogurt', 'canned beer', 'bottled beer', 'rolls/buns', 'shopping bags', 'dessert', 'frozen meals', 'semi-finished bread', 'berries']"
18,"['chicken', 'yogurt', 'butter milk', 'bottled beer', 'flour', 'rolls/buns', 'shopping bags', 'dessert', 'UHT-milk', 'brown bread']"
19,"['yogurt', 'candy', 'rolls/buns', 'brown bread', 'berries', 'frozen meals', 'whole milk', 'dish cleaner', 'root vegetables', 'dog food']"
20,"['whole milk', 'canned beer', 'pastry', 'butter']"
21,"['chicken', 'cat food', 'yogurt', 'butter milk', 'canned beer', 'bottled beer', 'chocolate', 'liquor', 'cream cheese', 'pickled vegetables']"
22,"['bottled beer', 'canned beer', 'chocolate', 'flour', 'rolls/buns', 'brown bread', 'pickled vegetables', 'butter', 'whole milk', 'mustard']"
23,"['beef', 'bottled beer', 'candy', 'canned beer', 'rolls/buns', 'cream cheese', 'shopping bags', 'dessert', 'salty snack', 'butter']"
24,"['bottled beer', 'canned beer', 'chocolate', 'flour', 'rolls/buns', 'brown bread', 'salty snack', 'butter', 'whole milk', 'fruit/vegetable juice']"
25,"['yogurt', 'rolls/buns', 'shopping bags', 'dessert', 'brown bread', 'berries', 'whole milk', 'coffee', 'cake bar', 'pastry']"
26,"['yogurt', 'candy', 'meat', 'chewing gum', 'rolls/buns', 'cream cheese', 'shopping bags', 'dessert', 'salty snack', 'whole milk']"
